Ticker,Ex-Div Date,Dividend,Price on Ex-Date,Annualized Yield %,Frequency,Source
BASE.TO,2019-07-30,0.1,12.878,9.319,monthly,yfinance
BASE.TO,2019-08-29,0.1,11.968,10.027,monthly,yfinance
BASE.TO,2019-09-27,0.1,12.578,9.54,monthly,yfinance
BASE.TO,2019-10-30,0.1,12.635,9.498,monthly,yfinance
BASE.TO,2019-11-28,0.1,12.842,9.344,monthly,yfinance
BASE.TO,2019-12-30,0.1,13.196,9.094,monthly,yfinance
BASE.TO,2020-01-30,0.1,13.082,9.173,monthly,yfinance
BASE.TO,2020-02-27,0.1,13.414,8.946,monthly,yfinance
BASE.TO,2020-03-30,0.1,9.167,13.09,monthly,yfinance
BASE.TO,2020-04-29,0.1,12.039,9.968,monthly,yfinance
BASE.TO,2020-05-28,0.1,12.415,9.666,monthly,yfinance
BASE.TO,2020-06-29,0.1,12.533,9.575,monthly,yfinance
BASE.TO,2020-07-30,0.1,14.552,8.246,monthly,yfinance
BASE.TO,2020-08-28,0.1,14.697,8.165,monthly,yfinance
BASE.TO,2020-09-29,0.1,14.413,8.326,monthly,yfinance
BASE.TO,2020-10-29,0.1,14.905,8.051,monthly,yfinance
BASE.TO,2020-11-27,0.1,15.546,7.719,monthly,yfinance
BASE.TO,2020-12-30,0.1,17.37,6.908,monthly,yfinance
BASE.TO,2021-01-28,0.1,17.694,6.782,monthly,yfinance
BASE.TO,2021-02-25,0.1,18.645,6.436,monthly,yfinance
BASE.TO,2021-03-30,0.15,19.838,9.073,monthly,yfinance
BASE.TO,2021-04-29,0.15,21.057,8.548,monthly,yfinance
BASE.TO,2021-05-28,0.15,22.112,8.14,monthly,yfinance
BASE.TO,2021-06-29,0.15,20.648,8.718,monthly,yfinance
BASE.TO,2021-07-29,0.15,21.873,8.229,monthly,yfinance
BASE.TO,2021-08-30,0.15,21.359,8.427,monthly,yfinance
BASE.TO,2021-09-28,0.15,19.021,9.463,monthly,yfinance
BASE.TO,2021-10-28,0.16,19.913,9.642,monthly,yfinance
BASE.TO,2021-11-29,0.16,19.539,9.826,monthly,yfinance
BASE.TO,2021-12-30,0.16,20.747,9.254,monthly,yfinance
BASE.TO,2022-01-28,0.16,19.925,9.636,monthly,yfinance
BASE.TO,2022-02-25,0.16,22.451,8.552,monthly,yfinance
BASE.TO,2022-03-30,0.16,24.279,7.908,monthly,yfinance
BASE.TO,2022-04-28,0.2,22.603,10.618,monthly,yfinance
BASE.TO,2022-05-30,0.2,22.567,10.635,monthly,yfinance
BASE.TO,2022-06-29,0.2,18.709,12.828,monthly,yfinance
BASE.TO,2022-07-28,0.2,18.438,13.016,monthly,yfinance
BASE.TO,2022-08-30,0.2,18.5,12.973,monthly,yfinance
BASE.TO,2022-09-28,0.2,16.913,14.19,monthly,yfinance
BASE.TO,2022-10-28,0.2,18.339,13.087,monthly,yfinance
BASE.TO,2022-11-29,0.2,20.403,11.763,monthly,yfinance
BASE.TO,2022-12-29,0.2,20.111,11.934,monthly,yfinance
BASE.TO,2023-01-30,0.2,22.343,10.742,monthly,yfinance
BASE.TO,2023-02-27,0.2,21.351,11.241,monthly,yfinance
BASE.TO,2023-03-30,0.2,21.486,11.17,monthly,yfinance
BASE.TO,2023-04-27,0.2,20.867,11.501,monthly,yfinance
BASE.TO,2023-05-30,0.2,19.791,12.127,monthly,yfinance
BASE.TO,2023-06-29,0.2,20.866,11.502,monthly,yfinance
BASE.TO,2023-07-28,0.2,22.365,10.731,monthly,yfinance
BASE.TO,2023-08-30,0.2,21.702,11.059,monthly,yfinance
BASE.TO,2023-09-28,0.2,20.695,11.597,monthly,yfinance
BASE.TO,2023-10-30,0.2,20.439,11.742,monthly,yfinance
BASE.TO,2023-11-29,0.2,21.574,11.125,monthly,yfinance
BASE.TO,2023-12-28,0.2,23.325,10.289,monthly,yfinance
BASE.TO,2024-01-30,0.2,22.039,10.89,monthly,yfinance
BASE.TO,2024-02-28,0.2,21.815,11.002,monthly,yfinance
BASE.TO,2024-03-27,0.2,23.263,10.317,monthly,yfinance
BASE.TO,2024-04-29,0.2,23.438,10.24,monthly,yfinance
BASE.TO,2024-05-31,0.2,23.457,10.231,monthly,yfinance
BASE.TO,2024-06-28,0.2,22.404,10.713,monthly,yfinance
BASE.TO,2024-07-31,0.2,23.141,10.371,monthly,yfinance
BASE.TO,2024-08-30,0.2,22.366,10.731,monthly,yfinance
BASE.TO,2024-09-27,0.2,23.463,10.229,monthly,yfinance
BASE.TO,2024-10-31,0.2,22.701,10.572,monthly,yfinance
BASE.TO,2024-11-29,0.2,22.592,10.623,monthly,yfinance
BASE.TO,2024-12-31,0.2,20.111,11.934,monthly,yfinance
BASE.TO,2025-01-31,0.2,21.304,11.266,monthly,yfinance
BASE.TO,2025-02-28,0.2,21.512,11.157,monthly,yfinance
BASE.TO,2025-03-31,0.2,21.203,11.319,monthly,yfinance
BASE.TO,2025-04-30,0.2,20.739,11.572,monthly,yfinance
BASE.TO,2025-05-30,0.2,20.816,11.53,monthly,yfinance
BASE.TO,2025-06-30,0.2,21.552,11.136,monthly,yfinance
BASE.TO,2025-07-31,0.2,21.35,11.241,monthly,yfinance
BEPR.TO,2008-07-29,0.125,2.818,53.221,monthly,yfinance
BEPR.TO,2008-08-27,0.125,2.868,52.305,monthly,yfinance
BEPR.TO,2008-09-26,0.125,2.41,62.229,monthly,yfinance
BEPR.TO,2008-10-29,0.125,1.81,82.871,monthly,yfinance
BEPR.TO,2008-11-26,0.125,1.551,96.736,monthly,yfinance
BEPR.TO,2008-12-29,0.125,1.368,109.683,monthly,yfinance
BEPR.TO,2009-01-28,0.125,1.89,79.366,monthly,yfinance
BEPR.TO,2009-02-25,0.125,1.602,93.605,monthly,yfinance
BEPR.TO,2009-03-27,0.125,1.6,93.776,monthly,yfinance
BEPR.TO,2009-04-28,0.11,1.788,73.813,monthly,yfinance
BEPR.TO,2009-05-27,0.11,1.922,68.681,monthly,yfinance
BEPR.TO,2009-06-26,0.11,1.886,69.996,monthly,yfinance
BEPR.TO,2009-07-29,0.11,1.936,68.174,monthly,yfinance
BEPR.TO,2009-08-27,0.08,1.965,48.844,monthly,yfinance
BEPR.TO,2009-09-28,0.08,2.139,44.888,monthly,yfinance
BEPR.TO,2009-10-28,0.08,2.288,41.958,monthly,yfinance
BEPR.TO,2009-11-26,0.08,2.423,39.627,monthly,yfinance
BEPR.TO,2009-12-29,0.08,2.534,37.889,monthly,yfinance
BEPR.TO,2010-01-27,0.08,2.638,36.396,monthly,yfinance
BEPR.TO,2010-02-24,0.08,2.624,36.591,monthly,yfinance
BEPR.TO,2010-03-29,0.08,2.686,35.735,monthly,yfinance
BEPR.TO,2010-04-28,0.08,2.724,35.243,monthly,yfinance
BEPR.TO,2010-05-27,0.08,2.707,35.467,monthly,yfinance
BEPR.TO,2010-06-28,0.08,2.692,35.658,monthly,yfinance
BEPR.TO,2010-07-28,0.08,2.813,34.123,monthly,yfinance
BEPR.TO,2010-08-27,0.08,2.995,32.053,monthly,yfinance
BEPR.TO,2010-09-28,0.08,3.127,30.697,monthly,yfinance
BEPR.TO,2010-10-27,0.08,3.185,30.145,monthly,yfinance
BEPR.TO,2010-11-26,0.08,3.258,29.47,monthly,yfinance
BEPR.TO,2010-12-29,0.08,3.199,30.006,monthly,yfinance
BEPR.TO,2011-01-27,0.08,3.428,28.002,monthly,yfinance
BEPR.TO,2011-02-24,0.08,3.45,27.823,monthly,yfinance
BEPR.TO,2011-03-29,0.08,3.322,28.902,monthly,yfinance
BEPR.TO,2011-04-27,0.08,3.356,28.602,monthly,yfinance
BEPR.TO,2011-05-27,0.08,3.528,27.211,monthly,yfinance
BEPR.TO,2011-06-28,0.08,3.554,27.014,monthly,yfinance
BEPR.TO,2011-07-27,0.08,3.58,26.819,monthly,yfinance
BEPR.TO,2011-08-29,0.08,3.508,27.363,monthly,yfinance
BEPR.TO,2011-09-28,0.08,3.436,27.938,monthly,yfinance
BEPR.TO,2011-10-27,0.08,3.463,27.723,monthly,yfinance
BEPR.TO,2011-11-28,0.08,3.506,27.381,monthly,yfinance
BEPR.TO,2011-12-28,0.12,3.563,40.414,monthly,yfinance
BEPR.TO,2012-01-27,0.08,3.821,25.122,monthly,yfinance
BEPR.TO,2012-02-27,0.08,3.924,24.465,monthly,yfinance
BEPR.TO,2012-03-28,0.08,3.838,25.015,monthly,yfinance
BEPR.TO,2012-04-26,0.08,3.894,24.656,monthly,yfinance
BEPR.TO,2012-05-29,0.08,3.974,24.159,monthly,yfinance
BEPR.TO,2012-06-27,0.08,4.069,23.594,monthly,yfinance
BEPR.TO,2012-07-27,0.08,4.267,22.497,monthly,yfinance
BEPR.TO,2012-08-29,0.08,4.325,22.199,monthly,yfinance
BEPR.TO,2012-09-26,0.08,4.35,22.07,monthly,yfinance
BEPR.TO,2012-10-29,0.08,4.505,21.31,monthly,yfinance
BEPR.TO,2012-11-28,0.08,4.538,21.156,monthly,yfinance
BEPR.TO,2012-12-27,0.08,4.582,20.951,monthly,yfinance
BEPR.TO,2013-01-29,0.08,4.708,20.392,monthly,yfinance
BEPR.TO,2013-02-26,0.08,4.852,19.784,monthly,yfinance
BEPR.TO,2013-03-26,0.08,4.95,19.396,monthly,yfinance
BEPR.TO,2013-04-26,0.08,4.942,19.424,monthly,yfinance
BEPR.TO,2013-05-29,0.08,4.901,19.589,monthly,yfinance
BEPR.TO,2013-06-26,0.08,4.517,21.255,monthly,yfinance
BEPR.TO,2013-07-29,0.08,4.601,20.866,monthly,yfinance
BEPR.TO,2013-08-28,0.08,4.582,20.952,monthly,yfinance
BEPR.TO,2013-09-26,0.08,4.52,21.24,monthly,yfinance
BEPR.TO,2013-10-29,0.08,4.734,20.277,monthly,yfinance
BEPR.TO,2013-11-27,0.08,4.75,20.209,monthly,yfinance
BEPR.TO,2013-12-27,0.08,4.739,20.259,monthly,yfinance
BEPR.TO,2014-01-29,0.08,4.735,20.275,monthly,yfinance
BEPR.TO,2014-02-26,0.08,4.763,20.155,monthly,yfinance
BEPR.TO,2014-03-27,0.08,4.843,19.821,monthly,yfinance
BEPR.TO,2014-04-28,0.08,5.055,18.992,monthly,yfinance
BEPR.TO,2014-05-28,0.08,5.198,18.468,monthly,yfinance
BEPR.TO,2014-06-26,0.08,5.264,18.237,monthly,yfinance
BEPR.TO,2014-07-29,0.08,5.397,17.789,monthly,yfinance
BEPR.TO,2014-08-27,0.08,5.455,17.598,monthly,yfinance
BEPR.TO,2014-09-26,0.08,5.43,17.68,monthly,yfinance
BEPR.TO,2014-10-29,0.08,5.519,17.396,monthly,yfinance
BEPR.TO,2014-11-26,0.08,5.659,16.965,monthly,yfinance
BEPR.TO,2014-12-29,0.185,5.708,38.891,monthly,yfinance
BEPR.TO,2015-01-28,0.08,5.756,16.678,monthly,yfinance
BEPR.TO,2015-02-25,0.08,6.005,15.988,monthly,yfinance
BEPR.TO,2015-03-27,0.08,5.865,16.37,monthly,yfinance
BEPR.TO,2015-04-28,0.08,5.882,16.32,monthly,yfinance
BEPR.TO,2015-05-27,0.08,5.936,16.173,monthly,yfinance
BEPR.TO,2015-06-26,0.08,5.806,16.535,monthly,yfinance
BEPR.TO,2015-11-26,0.08,5.478,17.525,semi-annual,yfinance
BEPR.TO,2015-12-29,0.24,5.49,52.463,monthly,yfinance
BEPR.TO,2016-01-27,0.08,5.36,17.909,monthly,yfinance
BEPR.TO,2016-02-25,0.08,5.337,17.986,monthly,yfinance
BEPR.TO,2016-03-29,0.08,5.557,17.274,monthly,yfinance
BEPR.TO,2016-04-27,0.08,5.751,16.692,monthly,yfinance
BEPR.TO,2016-05-27,0.08,5.728,16.761,monthly,yfinance
BEPR.TO,2016-06-28,0.08,5.852,16.405,monthly,yfinance
BEPR.TO,2016-07-27,0.08,6.04,15.895,monthly,yfinance
BEPR.TO,2016-08-29,0.08,6.025,15.933,monthly,yfinance
BEPR.TO,2016-09-28,0.08,6.103,15.73,monthly,yfinance
BEPR.TO,2016-10-27,0.08,6.28,15.286,monthly,yfinance
BEPR.TO,2016-11-28,0.08,5.92,16.216,monthly,yfinance
BEPR.TO,2016-12-28,0.08,6.025,15.935,monthly,yfinance
BEPR.TO,2017-01-27,0.08,6.135,15.649,monthly,yfinance
BEPR.TO,2017-02-24,0.08,6.2,15.484,monthly,yfinance
BEPR.TO,2017-03-29,0.08,6.307,15.222,monthly,yfinance
BEPR.TO,2017-04-26,0.08,6.465,14.849,monthly,yfinance
BEPR.TO,2017-05-29,0.08,6.635,14.47,monthly,yfinance
BEPR.TO,2017-06-28,0.08,6.748,14.226,monthly,yfinance
BEPR.TO,2017-07-27,0.08,6.842,14.031,monthly,yfinance
BEPR.TO,2017-08-29,0.08,6.936,13.84,monthly,yfinance
BEPR.TO,2017-09-28,0.08,7.041,13.634,monthly,yfinance
BEPR.TO,2017-10-30,0.08,7.174,13.382,monthly,yfinance
BEPR.TO,2017-11-29,0.08,7.009,13.696,monthly,yfinance
BEPR.TO,2017-12-28,0.08,6.972,13.769,monthly,yfinance
BEPR.TO,2018-01-30,0.08,6.891,13.931,monthly,yfinance
BEPR.TO,2018-02-27,0.08,6.761,14.199,monthly,yfinance
BEPR.TO,2018-03-28,0.08,6.87,13.973,monthly,yfinance
BEPR.TO,2018-04-27,0.07,6.755,12.435,monthly,yfinance
BEPR.TO,2018-05-30,0.07,6.678,12.579,monthly,yfinance
BEPR.TO,2018-06-28,0.07,6.611,12.706,monthly,yfinance
BEPR.TO,2018-07-30,0.07,6.572,12.782,monthly,yfinance
BEPR.TO,2018-08-30,0.07,6.706,12.526,monthly,yfinance
BEPR.TO,2018-09-27,0.07,6.718,12.505,monthly,yfinance
BEPR.TO,2018-10-30,0.07,6.592,12.742,monthly,yfinance
BEPR.TO,2018-11-29,0.07,6.495,12.933,monthly,yfinance
BEPR.TO,2018-12-28,0.085,6.056,16.844,monthly,yfinance
BEPR.TO,2019-01-30,0.07,6.549,12.826,monthly,yfinance
BEPR.TO,2019-02-27,0.07,6.724,12.492,monthly,yfinance
BEPR.TO,2019-03-28,0.07,6.919,12.141,monthly,yfinance
BEPR.TO,2019-04-29,0.07,7.043,11.927,monthly,yfinance
BEPR.TO,2019-05-30,0.07,7.025,11.957,monthly,yfinance
BEPR.TO,2019-06-27,0.07,7.187,11.688,monthly,yfinance
BEPR.TO,2019-07-30,0.07,7.44,11.291,monthly,yfinance
BEPR.TO,2019-08-29,0.07,7.591,11.066,monthly,yfinance
BEPR.TO,2019-09-27,0.07,7.767,10.815,monthly,yfinance
BEPR.TO,2019-10-30,0.07,7.902,10.63,monthly,yfinance
BEPR.TO,2019-11-28,0.07,7.945,10.572,monthly,yfinance
BEPR.TO,2019-12-30,0.09,7.97,13.55,monthly,yfinance
BEPR.TO,2020-01-30,0.07,8.269,10.158,monthly,yfinance
BEPR.TO,2020-02-27,0.07,8.395,10.006,monthly,yfinance
BEPR.TO,2020-03-30,0.07,5.708,14.715,monthly,yfinance
BEPR.TO,2020-04-29,0.07,6.566,12.794,monthly,yfinance
BEPR.TO,2020-05-28,0.07,7.16,11.731,monthly,yfinance
BEPR.TO,2020-06-29,0.07,7.334,11.454,monthly,yfinance
BEPR.TO,2020-07-30,0.07,7.289,11.524,monthly,yfinance
BEPR.TO,2020-08-28,0.07,7.276,11.544,monthly,yfinance
BEPR.TO,2020-09-29,0.07,7.237,11.606,monthly,yfinance
BEPR.TO,2020-10-29,0.07,7.436,11.297,monthly,yfinance
BEPR.TO,2020-11-27,0.07,7.947,10.571,monthly,yfinance
BEPR.TO,2020-12-30,0.07,8.12,10.344,monthly,yfinance
BEPR.TO,2021-01-28,0.07,8.269,10.159,monthly,yfinance
BEPR.TO,2021-02-25,0.07,8.019,10.476,monthly,yfinance
BEPR.TO,2021-03-30,0.07,8.1,10.37,monthly,yfinance
BEPR.TO,2021-04-29,0.07,8.326,10.089,monthly,yfinance
BEPR.TO,2021-05-28,0.07,8.347,10.064,monthly,yfinance
BEPR.TO,2021-06-29,0.07,8.471,9.916,monthly,yfinance
BEPR.TO,2021-07-29,0.07,8.596,9.772,monthly,yfinance
BEPR.TO,2021-08-30,0.07,8.75,9.6,monthly,yfinance
BEPR.TO,2021-09-28,0.07,8.715,9.639,monthly,yfinance
BEPR.TO,2021-10-28,0.07,8.835,9.508,monthly,yfinance
BEPR.TO,2021-11-29,0.07,8.8,9.546,monthly,yfinance
BEPR.TO,2021-12-30,0.07,8.814,9.53,monthly,yfinance
BEPR.TO,2022-01-28,0.07,8.65,9.711,monthly,yfinance
BEPR.TO,2022-02-25,0.07,8.296,10.126,monthly,yfinance
BEPR.TO,2022-03-30,0.07,8.049,10.437,monthly,yfinance
BEPR.TO,2022-04-28,0.07,7.779,10.799,monthly,yfinance
BEPR.TO,2022-05-30,0.07,7.557,11.115,monthly,yfinance
BEPR.TO,2022-06-29,0.07,7.126,11.787,monthly,yfinance
BEPR.TO,2022-07-28,0.07,7.486,11.221,monthly,yfinance
BEPR.TO,2022-08-30,0.07,7.396,11.358,monthly,yfinance
BEPR.TO,2022-09-28,0.07,7.1,11.831,monthly,yfinance
BEPR.TO,2022-10-28,0.07,6.872,12.224,monthly,yfinance
BEPR.TO,2022-11-29,0.07,6.972,12.048,monthly,yfinance
BEPR.TO,2022-12-29,0.07,7.144,11.759,monthly,yfinance
BEPR.TO,2023-01-30,0.07,7.629,11.01,monthly,yfinance
BEPR.TO,2023-02-27,0.07,7.535,11.148,monthly,yfinance
BEPR.TO,2023-03-30,0.07,6.67,12.593,monthly,yfinance
BEPR.TO,2023-04-27,0.07,6.895,12.183,monthly,yfinance
BEPR.TO,2023-05-30,0.07,6.887,12.197,monthly,yfinance
BEPR.TO,2023-06-29,0.07,6.896,12.182,monthly,yfinance
BEPR.TO,2023-07-28,0.07,7.093,11.842,monthly,yfinance
BEPR.TO,2023-08-30,0.07,7.077,11.87,monthly,yfinance
BEPR.TO,2023-09-28,0.07,7.061,11.897,monthly,yfinance
BEPR.TO,2023-10-30,0.07,6.868,12.231,monthly,yfinance
BEPR.TO,2023-11-29,0.07,7.259,11.572,monthly,yfinance
BEPR.TO,2023-12-28,0.07,7.636,11.001,monthly,yfinance
BEPR.TO,2024-01-30,0.07,7.792,10.78,monthly,yfinance
BEPR.TO,2024-02-28,0.07,7.879,10.661,monthly,yfinance
BEPR.TO,2024-03-27,0.07,8.003,10.496,monthly,yfinance
BEPR.TO,2024-04-29,0.07,7.924,10.6,monthly,yfinance
BEPR.TO,2024-05-31,0.07,8.085,10.389,monthly,yfinance
BEPR.TO,2024-06-28,0.07,8.121,10.343,monthly,yfinance
BEPR.TO,2024-07-31,0.07,8.322,10.094,monthly,yfinance
BEPR.TO,2024-08-30,0.07,8.404,9.996,monthly,yfinance
BEPR.TO,2024-09-27,0.07,8.634,9.729,monthly,yfinance
BEPR.TO,2024-10-31,0.07,8.597,9.771,monthly,yfinance
BEPR.TO,2024-11-29,0.07,8.709,9.645,monthly,yfinance
BEPR.TO,2024-12-31,0.07,8.654,9.707,monthly,yfinance
BEPR.TO,2025-01-31,0.07,8.635,9.728,monthly,yfinance
BEPR.TO,2025-02-28,0.07,8.797,9.548,monthly,yfinance
BEPR.TO,2025-03-31,0.07,8.721,9.632,monthly,yfinance
BEPR.TO,2025-04-30,0.07,8.459,9.93,monthly,yfinance
BEPR.TO,2025-05-30,0.07,8.645,9.716,monthly,yfinance
BEPR.TO,2025-06-30,0.07,8.833,9.51,monthly,yfinance
BEPR.TO,2025-07-31,0.068,8.96,9.107,monthly,yfinance
BK.TO,2005-08-29,0.078,1.969,47.53,monthly,yfinance
BK.TO,2005-09-28,0.081,1.934,50.254,monthly,yfinance
BK.TO,2005-10-27,0.081,1.767,55.011,monthly,yfinance
BK.TO,2005-11-28,0.084,1.923,52.413,monthly,yfinance
BK.TO,2005-12-28,0.088,1.95,54.165,monthly,yfinance
BK.TO,2006-01-27,0.088,1.909,55.317,monthly,yfinance
BK.TO,2006-02-24,0.091,1.934,56.478,monthly,yfinance
BK.TO,2006-03-29,0.094,1.953,57.752,monthly,yfinance
BK.TO,2006-04-26,0.094,1.931,58.428,monthly,yfinance
BK.TO,2006-05-29,0.097,1.945,59.838,monthly,yfinance
BK.TO,2006-06-28,0.1,1.83,65.57,monthly,yfinance
BK.TO,2006-07-27,0.1,1.82,65.928,monthly,yfinance
BK.TO,2006-08-29,0.1,1.943,61.75,monthly,yfinance
BK.TO,2006-09-27,0.1,1.933,62.067,monthly,yfinance
BK.TO,2006-10-27,0.1,1.969,60.935,monthly,yfinance
BK.TO,2006-11-28,0.1,2.114,56.774,monthly,yfinance
BK.TO,2006-12-27,0.1,2.143,56.004,monthly,yfinance
BK.TO,2007-01-29,0.1,2.179,55.067,monthly,yfinance
BK.TO,2007-02-26,0.1,2.201,54.516,monthly,yfinance
BK.TO,2007-03-28,0.1,2.213,54.224,monthly,yfinance
BK.TO,2007-04-26,0.1,2.258,53.148,monthly,yfinance
BK.TO,2007-05-29,0.1,2.298,52.21,monthly,yfinance
BK.TO,2007-06-27,0.1,2.238,53.626,monthly,yfinance
BK.TO,2007-07-27,0.103,2.279,54.227,monthly,yfinance
BK.TO,2007-08-29,0.103,2.085,59.286,monthly,yfinance
BK.TO,2007-09-26,0.103,2.144,57.649,monthly,yfinance
BK.TO,2007-10-29,0.103,2.109,58.612,monthly,yfinance
BK.TO,2007-11-28,0.103,1.984,62.285,monthly,yfinance
BK.TO,2007-12-27,0.1,1.756,68.354,monthly,yfinance
BK.TO,2008-01-29,0.1,1.731,69.308,monthly,yfinance
BK.TO,2008-02-27,0.097,1.926,60.423,monthly,yfinance
BK.TO,2008-03-27,0.091,1.781,61.325,monthly,yfinance
BK.TO,2008-04-28,0.091,1.899,57.498,monthly,yfinance
BK.TO,2008-05-28,0.084,1.938,52.014,monthly,yfinance
BK.TO,2008-06-26,0.084,1.744,57.794,monthly,yfinance
